Account,Text,Date,Compound,Positive,Neutral,Negative
@CBS,Who’s ready to see these moves? 🕺 Tune in to the @latelateshow’s Carpool Karaoke Primetime Special TONIGHT at 10/9c! https://t.co/gjrURqXaPN,04/23/18,0.67,0.244,0.756,0.0
@CBS,"The 53rd #ACMawards turned into one big party when @KeithUrban and @juliamichaels performed their upbeat single ""Co… https://t.co/Q3Zj3EzuNs",04/22/18,0.402,0.137,0.863,0.0
@CBS,A blind date was all it took. Learn more about Meghan Markle and her road to royalty from the people who know her b… https://t.co/fEAMUblPQ4,04/20/18,-0.402,0.0,0.895,0.105
@CBS,RT @carrieunderwood: ICYMI! Watch Carrie’s performance of #CryPretty from the #ACMawards below! -TeamCU https://t.co/T9I3ko2xFu,04/20/18,0.0,0.0,1.0,0.0
@CBS,There's a new addition to the cast of the upcoming revival of Murphy Brown!  Learn more about Tyne Daly's character… https://t.co/ijSXSLyDaR,04/19/18,0.0,0.0,1.0,0.0
@CBS,"Country superstar @LukeBryanOnline delivers his moving anthem ""Most People Are Good"" at the 53rd #ACMawards:… https://t.co/GhhAsEDqmq",04/19/18,0.488,0.174,0.826,0.0
@CBS,"Coming to CBS All Access June 14, #StrangeAngel is inspired by the real life story of Jack Parsons and explores the… https://t.co/IsPrXRNXye",04/19/18,0.494,0.132,0.868,0.0
@CBS,When you realize there are TWO episodes of @CrimMinds_CBS tonight! 👏 Who’s ready for the double-episode season fina… https://t.co/CWVAHHeIGr,04/18/18,0.42,0.141,0.859,0.0
@CBS,Giving you even more reasons to celebrate! 🎉 See which CBS series are back for another year: https://t.co/O2LI0eJXTA https://t.co/H436kL1jSK,04/18/18,0.769,0.294,0.706,0.0
@CBS,"Watch country star @blakeshelton belt out his beautiful ballad ""I Lived It"" at the 53rd #AMCawards:… https://t.co/w0WRmpQ6fk",04/18/18,0.599,0.196,0.804,0.0
@CBS,RT @joshgroban: I AM SO HAPPY I COULD CRY BUT ITS MIDNIGHT IN JAPAN SO I WILL SLEEP BUT ‼️‼️‼️‼️👫🏆🎭😭🔜 #TonyAwards2018 https://t.co/NLss47K6…,04/18/18,0.09,0.14,0.736,0.125
@CBS,Broadway stars @SaraBareilles and @joshgroban will host @TheTonyAwards on June 10! Hear how these multi-talented ar… https://t.co/jy52FKd7t0,04/18/18,0.0,0.0,1.0,0.0
@CBS,Can you believe it’s been 11 years since @taylorswift13’s first-ever performance at the #ACMawards?! Look back at t… https://t.co/QHSPuJLLFb,04/17/18,0.0,0.0,1.0,0.0
@CBS,Waiting for the @ScorpionCBS season finale to start like… Tune in at 10/9c! https://t.co/peoDXtO707,04/16/18,0.0,0.0,1.0,0.0
@CBS,Cast your vote! #ACMawards https://t.co/57ZN5gr6Y1,04/16/18,0.0,0.0,1.0,0.0
@CBS,RT @CBSTweet: #CBSRatingsNews: #ACMawards Dominate on #CBS.  Over 12 million Total Viewers.  +11% year to year increase!  Biggest audience…,04/16/18,0.271,0.123,0.806,0.071
@CBS,"In case you missed it, watch the entire #ACMawards now: https://t.co/P3pgMJE2oh https://t.co/OOG2R0Mb4J",04/16/18,-0.296,0.0,0.833,0.167
@CBS,Relive a night of all-star country music performances and epic wins at the #ACMawards. Stream the entire show:… https://t.co/iA3SMVIhpA,04/16/18,0.572,0.179,0.821,0.0
@CBS,Multiple ACM Award Winners @KeithUrban and @carrieunderwood just added one more trophy to their collection with the… https://t.co/rMGCzOeJQK,04/16/18,0.765,0.292,0.708,0.0
@CBS,That's a wrap for the 53rd #ACMawards! 🎬 https://t.co/jM0HKud3d6,04/16/18,0.0,0.0,1.0,0.0
@CBS,"To all of tonight's nominees, we tip our hats to you! 🤠 #ACMawards https://t.co/eytEezfIgS",04/16/18,0.0,0.0,1.0,0.0
@CBS,Retweet if you think @carrieunderwood looks beautiful tonight! #ACMawards https://t.co/sqefiLBcXd,04/16/18,0.636,0.318,0.682,0.0
